title,category,subCategory,description,specification,brand,price,image
C14-C15 Connector Power Cord,Сенсорные датчики,Аксессуары,Обеспечивает выходную мощность от MT40 к устройству с совместимым входом питания IEC C13 или C15.,,Meraki,29,https://meraki.cisco.com/wp-content/uploads/2023/05/MA-PWR-CR14-CR15-1-hero-product-tile.png
MA-PWR-CORD-XX,Сенсорные датчики,Аксессуары,Кабель регионального энергопотребления,,Meraki,75,https://meraki.cisco.com/wp-content/uploads/2023/10/MA-PWR-CORD-XX-hero-product-tile.png
"
Glycol-Encased Temperature Probe",Сенсорные датчики,Аксессуары,датчик температуры в корпусе из гликоля длиной 10 футов (3 м) для датчика MT11,,Meraki,75,https://meraki.cisco.com/wp-content/uploads/2023/09/glycol-encased-temperature-probe-Сенсорные датчики-product.png
Spot leak detection cradle,Сенсорные датчики,Аксессуары,"кабель для обнаружения утечки воды длиной 8 футов (2,4 м) для датчика MT12",,Meraki,55,https://meraki.cisco.com/wp-content/uploads/2023/09/spot-leakdetection.png
USB-C to Ethernet adapter,Сенсорные датчики,Аксессуары,,,Meraki,176,https://meraki.cisco.com/wp-content/uploads/2023/03/usbc-to-ethernet-adapater-Сенсорные датчики-product-tile.png
Water leak detection cable,Сенсорные датчики,Аксессуары,"кабель для обнаружения утечки воды длиной 8 футов (2,4 м) для датчика MT12",,Meraki,55,https://meraki.cisco.com/wp-content/uploads/2023/09/water-leak-detection-cable-Сенсорные датчики-product-tilecopy.png
MS130-12X,Коммутаторы,Коммутаторы доступа,"Коммутаторы Cisco Meraki MS130 обеспечивают коммутацию доступа уровня 2, что идеально подходит для развертывания в филиалах и кампусах. Серия MS130 оснащена множеством опций, предназначенных для удовлетворения разнообразных потребностей развертываний в филиалах и кампусах. 

Линейка MS130, состоящая из 10 различных моделей, способных выдавать мощность до 740 Вт при различной плотности портов, включая восходящие линии с поддержкой SFP+, полностью готова к будущему развертыванию беспроводной инфраструктуры в самых разных средах.","1Gbe RJ45 - 8; mGbe RJ45 (100M/1G/2.5G) - 4 x 2.5G; 10GbE SFP+ - 2; Тип PoE - 802.3b; Бюджетный порт PoE- 30W; Бюджетный коммутатор PoE - 240W; Потребляемая мощность- 54VDC, 5.56A;  Power Load (idle/max) - 19W/260W;  Рабочая температура - 0°C - 45°C; Температура хранения и транспортирования - 
-20°C - 70°C;  Влажность - 5% to 95%/ Монтаж - Desktop Integrated Wall mount/  пропускная способность - 76 Gbps/ источник питания  - Внешний/ Вентиляция- Fixed Internal/ Размеры (h x w x d) - (4.4 x 23 x 23cm)/ Вес - 1.06 kg",Meraki,2750,https://meraki.cisco.com/wp-content/uploads/2023/09/ms130-12-hero-product-tile.png
MS130-8,Коммутаторы,Коммутаторы доступа,"Коммутаторы Cisco Meraki MS130 обеспечивают коммутацию доступа уровня 2, что идеально подходит для развертывания в филиалах и кампусах. Серия MS130 оснащена множеством опций, предназначенных для удовлетворения разнообразных потребностей развертываний в филиалах и кампусах. 

Линейка MS130, состоящая из 10 различных моделей, способных выдавать мощность до 740 Вт при различной плотности портов, включая восходящие линии с поддержкой SFP+, полностью готова к будущему развертыванию беспроводной инфраструктуры в самых разных средах.",1Gbe RJ45 - 8 1;                                                  Gbe SFP - 2;                                                    Потребляемая мощность- 12VDC/2.5A;                       Power Load (idle/max) - 18W/8W;       Рабочая температура - 32°F - 0°C - 45°C; Температура хранения и транспортирования  - -20°C - 70°C;                  Влажность - 5% to 95%;                            Монтаж - Desktop Integrated Wall mount;                                                           пропускная способность - 20 Gbps;                       Источник питания  - Внешний;                              Вентиляция- Fixed Internal; Размеры (h x w x d) - (2.8 x 22.2 x 15cm);                                                          Вес -0.88 kg,Meraki,800,https://meraki.cisco.com/wp-content/uploads/2023/09/MS130-8X.png
MS130-8P,Коммутаторы,Коммутаторы доступа,"Коммутаторы Cisco Meraki MS130 обеспечивают коммутацию доступа уровня 2, что идеально подходит для развертывания в филиалах и кампусах. Серия MS130 оснащена множеством опций, предназначенных для удовлетворения разнообразных потребностей развертываний в филиалах и кампусах. 

Компактные и безвентиляторные, с 2 портами SFP, с 10 различными моделями, способные обеспечивать мощность до 740 Вт при различной плотности портов, включая восходящие линии с поддержкой SFP+, линейка MS130 полностью готова к будущему развертыванию беспроводной инфраструктуры в самых разных средах.","1Gbe RJ45 - 8;                                                       1 Gbe SFP -2 x 2.5G;                                                       Тип   PoE  - 802.3bt                                              Бюджетный порт PoE- 30W;                                 Бюджетный коммутатор PoE - 120W;                     Потребляемая мощность- 54VDC, 2.78A;                       Power Load (idle/max) - 8W/128W;       Рабочая температура - 0°C - 45°C; Температура хранения и транспортирования  - -20°C - 70°C;                  Влажность - 5% to 95%;                            Монтаж - Desktop Integrated Wall mount;                                                           пропускная способность - 62 Gbps;                       источник питания  - Внешний;                              Вентиляция- Fanless;                Размеры (h x w x d) - 2.8 x 22.2 x 15cm;                                                          Вес -0.88 kg",Meraki,1375,https://meraki.cisco.com/wp-content/uploads/2023/09/ms130-8-hero-product-tile.png
MS130-8X,Коммутаторы,Коммутаторы доступа,"Экономичный коммутатор mGIG, 2 порта SFP+ по 10G.  Коммутаторы Cisco Meraki MS130 обеспечивают коммутацию доступа второго уровня, что идеально подходит для развертывания в филиалах и кампусах. Серия MS130 оснащена множеством опций, предназначенных для удовлетворения разнообразных потребностей филиалов и кампусов. 

Компактные и безвентиляторные, с 2 портами SFP, с 10 различными моделями, способные обеспечивать мощность до 740 Вт при различной плотности портов, включая восходящие линии с поддержкой SFP+, линейка MS130 полностью готова к будущему развертыванию беспроводной инфраструктуры в самых разных средах.","1Gbe RJ45 - 6;                                                       mGbe RJ45 (100M/1G/2.5G) -2 x 2.5G;  10GbE SFP+ - 2;                                                         тип PoE  - 802.3bt                                             Бюджетный порт PoE - 30W;                                 Бюджетный коммутатор PoE - 120W;                     Потребляемая мощность - 54VDC, 2.78A;                       Power Load (idle/max) - 16W/136W;       Рабочая температура - 0°C - 45°C; Температура хранения и транспортирования - -20°C - 70°C;                  Влажность - 5% to 95%;                            Монтаж - Desktop Integrated Wall mount;                                                           пропускная способность - 62 Gbps;                       источник питания - Внешний;                              Вентиляция - Fixed Internal; Размеры (h x w x d) - 4.4 x 23 x 23cm;                                                          Вес -0.96 kg",Meraki,2175,https://meraki.cisco.com/wp-content/uploads/2023/09/ms130-8-hero-product-tile.png
Catalyst 9300 C9300-24P-M,Коммутаторы,Stackable Коммутаторы доступа,"Catalyst 9300-M подходит для самых требовательных корпоративных приложений, сочетая простоту панели управления Meraki с мощным коммутационным оборудованием. Для удовлетворения потребностей приложений с высокой пропускной способностью и развертывания высокоскоростных точек доступа 802.11ax/wifi-6 Catalyst 9300-M оснащен мультигигабитными портами, пакетом 480G и модульными восходящими линиями 10/40g. Catalyst 9300-M обеспечивает отказоустойчивость благодаря быстрой конвергенции стеков и StackPower. Catalyst 9300-M обеспечивает адаптивную политику с использованием беспроводного тега, который сегментирует трафик на группы безопасности для обеспечения масштабируемой безопасности. Catalyst 9300-M встроен в панель управления Meraki и представляет собой простое и мощное решение для самых требовательных приложений проводного доступа.","Интерфейс - 24 x 1GbE RJ45; Uplink 10/40GbE 
(SFP+, QSFP+) - Modular; 120G Порт аппаратного стека - 2; Специальный интерфейс управления - 1; Тип крепления - 1U Rack Mount; Hot Swap Fans - Yes, 3x; Рабочая температура - -5°C to 45°C; Влажность - 5 to 90%;  пропускная способность - 208 Gbps; Скорость передачи - 154.76 Mpps; Источник питания - PWR-C1-715WAC-P-M; Блок питания с возможностью горячей замены	  - Yes, Dual; Доступный PoE с основным блоком питания - 445W; максимально доступный PoE W/ вторичный источник питания** - 720W; Power Load (idle/max) - 84.1 / 554.4 W; Основной блок питания - PWR-C1-715WAC-P-M; PoE  - 445W;  Размеры (h x w x d) - 4.4 x 44.5 x 44.9cm; Вес - 7.64 kg",Meraki,6590,https://meraki.cisco.com/wp-content/uploads/2024/01/C9300-24P-M.jpg
Catalyst 9300 C9300-24T-M,Коммутаторы,Stackable Коммутаторы доступа,"Catalyst 9300-M подходит для самых требовательных корпоративных приложений, сочетая простоту панели управления Meraki с мощным коммутационным оборудованием. Для удовлетворения потребностей приложений с высокой пропускной способностью и развертывания высокоскоростных точек доступа 802.11ax/wifi-6 Catalyst 9300-M оснащен мультигигабитными портами, пакетом 480G и модульными восходящими линиями 10/40g. Catalyst 9300-M обеспечивает отказоустойчивость благодаря быстрой конвергенции стеков и StackPower. Catalyst 9300-M обеспечивает адаптивную политику с использованием беспроводного тега, который сегментирует трафик на группы безопасности для обеспечения масштабируемой безопасности. Catalyst 9300-M встроен в панель управления Meraki и представляет собой простое и мощное решение для самых требовательных приложений проводного доступа.","Интерфейс -24 x 1GbE RJ45; Uplink 10/40GbE 
(SFP+, QSFP+) - Modular; 120G Порт аппаратного стека - 2; Специальный интерфейс управления - 1; Тип крепления - 1U Rack Mount; Hot Swap Fans - Yes, 3x; Рабочая температура - -5°C to 45°C; Влажность - 5 to 90%;  пропускная способность - 208 Gbps; Скорость передачи - 154.76 Mpps; Источник питания -PWR-C1-350WAC-P-M; Блок питания с возможностью горячей замены	  - Yes, Dua; Power Load (idle/max) - 79.2 / 99 W; Размеры (h x w x d) -4.4 x 44.5 x 44.9cm; Вес - 7.27 kg",Meraki,5610,https://meraki.cisco.com/wp-content/uploads/2024/01/C9300-24T-M-1.png
MS410-16,Коммутаторы,Aggregation Switches,"Cloud-managed 16x GigE SFP switch MS410-16. The Cisco Meraki 410 series extends cloud management across the aggregation layer for medium-size networks with our 1/10G fiber aggregation switches.  As with our access layer switches, our aggregation switches are built from the ground up to be easy to manage without compromising any of the power and flexibility traditionally found in enterprise-class switches.

Available in 2 different port densities, 16 or 32 x 1G SFP, both of which include 10Gb SFP+ ports and 2 dedicated hardware stacking ports capable of providing up to 160Gbps Суммарная пропускная способность to support small and medium-sized enterprise environments.","1GbE SFP - 16; 10GbE SFP+ - 2; 120G Порт аппаратного стека - 2;  Специальный интерфейс управления - 1; Тип крепления - 1U Rack Mount; Hot Swap Fans - Yes, x2; Рабочая температура - -5°C to 45°C; Влажность - 5 to 95%;  пропускная способность - 72 Gbps; Суммарная пропускная способность - 160 Gbps;  Блок питания с возможностью горячей замены - Yes, Dual; пропускная способность   -250W AC; Power Load (idle/max)  - 50 / 85 W; Размеры (h x w x d) - 4.37 x 48.46 x 51.66cm; Вес - 5.4 kg",Meraki,11262,https://meraki.cisco.com/wp-content/uploads/2023/09/ms410-16-switches-product-tile.png
MS410-32,Коммутаторы,Aggregation Switches,"Управляемый облаком 16-кратный гигабайтный SFP-коммутатор MS410-16. Коммутаторы Cisco серии Meraki 410 расширяют возможности облачного управления на уровне агрегации для сетей среднего размера с помощью наших оптоволоконных коммутаторов 1/10G.  Как и наши коммутаторы уровня доступа, наши агрегатные коммутаторы создаются с нуля, чтобы ими было легко управлять без ущерба для мощности и гибкости, традиционно присущих коммутаторам корпоративного класса.

Доступны 2 варианта плотности портов: 16 или 32 x 1G SFP, оба из которых включают в себя порты SFP+ емкостью 10 Гб и 2 выделенных аппаратных порта, обеспечивающих максимальную производительность до 160 Гбит/с для поддержки малого и среднего бизнеса.","1GbE SFP - 32; 10GbE SFP+ - 4; 120G Порт аппаратного стека - 2; Специальный интерфейс управления - 1; Тип крепления - 1U Rack Mount; Hot Swap Fans - Yes, x2; Рабочая температура - -5°C to 45°C; Влажность - 5 to 95%; пропускная способность - 144 Gbps; Суммарная пропускная способность - 160 Gbps;  Блок питания с возможностью горячей замены - Yes, Dual; пропускная способность   -250W AC; Мощность нагрузки  (idle/max)  - 50 / 85 W; Размеры (h x w x d) - 4.37 x 48.46 x 51.66cm; Вес - 5.7 kg kg",Meraki,19873,https://meraki.cisco.com/wp-content/uploads/2023/09/ms410-32-switches-product-tile.png
MA-SFP-10GB-LRM,Коммутаторы,Аксессуары,10G base LRM multi-mode,,Meraki,"1,177",https://meraki.cisco.com/wp-content/uploads/2023/07/ma_sfp_10gb_lrm_switches_product_tile_revised_full.png
MA-CBL-100G-3M,Коммутаторы,Аксессуары,"100GbE QSFP cable, 3 meter",,Meraki,781,https://meraki.cisco.com/wp-content/uploads/2023/07/MA-CBL-100G-3M-2.png
MA-CBL-120G-1M,Коммутаторы,Аксессуары,"MS390 120G data-stack cable, 1 meter",,Meraki,296,https://meraki.cisco.com/wp-content/uploads/2023/09/ma-sfp-cbl-120g-3m-switches-product-tile.png
MA-SFP-10GB-ER,Коммутаторы,Аксессуары,10G base ER,,Meraki,"11,829",https://meraki.cisco.com/wp-content/uploads/2023/07/MA-SFP-10GB-ER.png
MA-SFP-10GB-LR,Коммутаторы,Аксессуары,10G base LR single-mode,,Meraki,4726,https://meraki.cisco.com/wp-content/uploads/2023/07/MA-SFP-10GB-LR-v2.png
MA-SFP-10GB-SR,Коммутаторы,Аксессуары,10G base SR multi-mode,,Meraki,"1,177",https://meraki.cisco.com/wp-content/uploads/2023/07/MA-SFP-10GB-SR.png
MA-SFP-10GB-ZR,Коммутаторы,Аксессуары,10G base ZR,,Meraki,18927,https://meraki.cisco.com/product-catalog/switches-accessories/2/
The Cisco Meraki MR28,Беспроводные точки доступа,Внутренние точки доступа,"Cisco Meraki MR28 - это двухдиапазонная точка доступа начального уровня с поддержкой стандарта 802.11ax, 2x2:2, управляемая облаком. Разработанная для базовых развертываний средней плотности, MR28 обеспечивает безопасность корпоративного уровня и простое управление. 

MR28 обеспечивает максимальную суммарную частоту кадров 1,5 Гбит/с* при одновременном использовании радиостанций с частотой 2,4 и 5 ГГц.","Интерфейс - 1x 10/100/1000 BASE-T Ethernet (RJ45); IEEE стандарты - 802.11a, 802.11ac, 802.11ax, 802.11b, 802.11e, 802.11g, 802.11h, 802.11i, 802.11k, 802.11n, 802.11r, and 802.11u*** ; Рабочая температура - 0 °C to 40 °C; Влажность-  5 to 95% ; Рабочая высота - Up to 12,192 meters; Размеры - 202 mm x 124 mm x 25.8 mm; Вес - 272 g; ",Meraki,500,https://meraki.cisco.com/wp-content/uploads/2022/09/MR28-product-wireless-lan-tile.png
MR36,Беспроводные точки доступа,Внутренние точки доступа,"Управление MR36 осуществляется через облако Meraki с интуитивно понятным интерфейсом на основе браузера, который обеспечивает быстрое развертывание без трудоемкого обучения или дорогостоящей сертификации. Поскольку MR36 самонастраивается и управляется через Интернет, его можно развернуть в удаленном месте за считанные минуты, даже без присутствия ИТ-персонала на месте.
                        
мониторинг в режиме 24x7 с помощью Meraki Cloud обеспечивает оповещение в режиме реального времени при возникновении проблем в сети. Средства удаленной диагностики позволяют немедленно устранять неполадки через Интернет, что позволяет управлять распределенными сетями с минимальными затратами.","Интерфейс - 1x 10/100/1000 BASE-T Ethernet (RJ45), 1x DC power connector (5.5 mm x 2.5 mm, center positive) ;Стандарты IEEE   - 802.11a, 802.11ac, 802.11ax, 802.11b, 802.11e, 802.11g, 802.11h, 802.11i, 802.11k, 802.11n, 802.11r, and 802.11u*** ;  PoE - 37 - 57 V (802.3af compatible); Альтернатива - 12 V DC input; Потребляемая мощность- 15W max (802.3af);  Рабочая температура - 0 °C to 40 °C; Влажность-  5 to 95% ; Рабочая высота - Up to 12,192 meters; Размеры - 25 cm x 12 cm x 3.6 cm; Вес - 492 g ",Meraki,950,https://meraki.cisco.com/wp-content/uploads/2023/09/mr36-wireless-lan-product-tiles.png
CW9163E,Беспроводные точки доступа,Наружные точки доступа,"Cisco Wireless 9163E - это точка доступа корпоративного класса 802.11ax, работающая на открытом воздухе или управляемая облаком. Эта точка доступа оснащена трехдиапазонными параллельными радиостанциями, предназначенными для приложений с низкой/средней плотностью передачи данных. Он будет работать с различными внешними антеннами для достижения требуемой направленности. 

Он оснащен 2x2 трехдиапазонными дорожными радиостанциями (2x2 2,4 ГГц + 2x2 5 ГГц + 2x2 6 ГГц), 1x1 трехдиапазонной сканирующей радиостанцией и 2,4-ГГц IoT-радиостанцией (BLE / Zigbee / Thread и т.д.). Он также оснащен встроенным GNSS-приемником, обеспечивающим соответствие стандарту AFC на частоте 6 ГГц.","Интерфейсы - 1x 100M/1000M/2.5G Multigigabit Ethernet (RJ-45), Management console port (RJ-45), 4x N-Type Wi-Fi Antenna Connectors, RP-SMA Active GPS/GNSS Antenna Connector ; Стандарты IEEE  - IEEE 802.3, IEEE 802.3ab, IEEE 802.3af/at, IEEE 802.11a/b/g/n/ac/ax, IEEE 802.11h, 802.11d, IEEE 802.15.1/802.15.4 ; Wi-Fi Alliance- Wi-Fi 6 (R2), Wi-Fi 6E, WPA3-R3, WPA3-Suite B, Enhanced Open Security;   PoE - 42.5 - 57 V (PoE+ and UPoE compliant); Потребляемая мощность: - до 25Вт (PoE+);  Рабочая температура - 0 °C to 40 °C; Влажность-  5 to 95% non-condensing; Рабочая высота - до 12,192 м.; Размеры - 245 x 245 x 63.5 mm; Вес - 1.50 kg",Meraki,"2,995",https://meraki.cisco.com/wp-content/uploads/2023/11/cw9163e-hero-product-tile-2.png
MA-ANT-23,Беспроводные точки доступа,Аксессуары,"Секторная антенна 2,4 ГГц",,Meraki,413,https://meraki.cisco.com/wp-content/uploads/2023/09/300ppi-ma-ant-27.png
MA-ANT-3-A1,Беспроводные точки доступа,Аксессуары,Внутренняя двухдиапазонная дипольная антенна,,Meraki,47,https://meraki.cisco.com/wp-content/uploads/2023/09/300ppi-ma-ant-3-a1.png
MA-ANT-3-A5,Беспроводные точки доступа,Аксессуары,"Внутренние двухдиапазонные дипольные антенны, пять комплектов для MR42E",,Meraki,200,https://meraki.cisco.com/wp-content/uploads/2023/09/300ppi-ma-ant-3-a5.png
MA-ANT-3-C6,Беспроводные точки доступа,Аксессуары,Внутренние двухдиапазонные панельные антенны omni с шестью портами для MR46E/MR53E,,Meraki,591,https://meraki.cisco.com/wp-content/uploads/2023/09/ma-ant-3-c5-wireless-lan-product-tile.png
MV13,Smart-камеры,офисные комеры,"Мини-купольная камера с фиксированным объективом для помещений с углом обзора 101,3° и функцией ночного видения на расстоянии до 15 м","Размеры: 120 мм x 83,5 мм (диаметр x высота)

Вес изделия: 430 грамм

Объектив с фиксированной линзой

Разъем Ethernet с интерфейсом RJ45

Многоцветный многофункциональный индикатор состояния

Переключатель внешнего микрофона

Кнопка сброса",Meraki,1299,https://meraki.cisco.com/wp-content/uploads/2024/01/MV13-hero-product-tile.png
MV52,Smart-камеры,уличные камеры,Сверхдальнобойная телеобъективная пулевая камера,,Meraki,"3,899",https://meraki.cisco.com/wp-content/uploads/2021/12/mv52-smart-cameras-product-tile.png
AC power adapter,Smart-камеры,аксессуары,Дополнительный адаптер переменного тока к USB-C для постоянного питания,,Meraki,43,https://www.rhinonetworks.com/sites/default/files/styles/max_650x650/public/2022-03/MA-PWR-CORD-US.jpg?itok=0yzYtRtd
